1-105-K5TL-IM	given to	Bickleton
1-105-K5TL-IM	given to	East Valley (Yakima)
1-105-K5TL-IM	given to	Easton
1-105-K5TL-IM	given to	Ellensburg
1-105-K5TL-IM	given to	Granger
1-105-K5TL-IM	given to	Highland
1-105-K5TL-IM	given to	Kittitas
1-105-K5TL-IM	given to	Mabton
1-105-K5TL-IM	given to	Naches Valley
1-105-K5TL-IM	given to	Royal
1-105-K5TL-IM	given to	Selah
1-105-K5TL-IM	given to	Sunnyside
1-105-K5TL-IM	given to	Thorp
1-105-K5TL-IM	given to	Union Gap
1-105-K5TL-IM	given to	Wahluke
1-105-K5TL-IM	given to	Wapato
1-105-K5TL-IM	given to	West Valley (Yakima)
1-105-K5TL-IM	given to	Zillah
1-112-????-CaPa	given to	Kalama
1-112-DL-SP	given to	La Center
1-112-DL-SP	given to	Battle Ground
1-112-DL-SP	given to	Glenwood
1-112-DL-SP	given to	Hockinson
1-112-DL-SP	given to	Wahkiakum
1-121-C-LD	given to	Bethel
1-121-C-LD	given to	Chief Leschi
1-121-C-LD	given to	Clover Park
1-121-C-LD	given to	Federal Way
1-121-C-LD	given to	Franklin Pierce
1-121-C-LD	given to	Highline
1-121-C-LD	given to	Issaquah
1-121-C-LD	given to	Kent
1-121-C-LD	given to	Lake Washington
1-121-C-LD	given to	Peninsula
1-121-C-LD	given to	Renton
1-121-C-LD	given to	Skykomish
1-121-C-LD	given to	Sumner
1-121-C-LD	given to	Tacoma
1-121-C-LD	given to	Tahoma
1-121-C-LD	given to	Tukwila
1-121-C-LD	given to	White River
1-121-DL-SP	given to	Renton
1-121-K12T-PD	given to	Chief Leschi
1-121-K12TL-LD	given to	Chief Leschi
1-123-C-LB	given to	Asotin-Anatone
1-123-C-LB	given to	Clarkston
1-123-C-LB	given to	College Place
1-123-C-LB	given to	Columbia (Walla Walla)
1-123-C-LB	given to	Dayton
1-123-C-LB	given to	Dixie
1-123-C-LB	given to	Finley
1-123-C-LB	given to	Kahlotus
1-123-C-LB	given to	Kennewick
1-123-C-LB	given to	Kiona-Benton City
1-123-C-LB	given to	North Franklin
1-123-C-LB	given to	Othello
1-123-C-LB	given to	Pasco
1-123-C-LB	given to	Paterson
1-123-C-LB	given to	Pomeroy
1-123-C-LB	given to	Prescott
1-123-C-LB	given to	Prosser
1-123-C-LB	given to	Richland
1-123-C-LB	given to	Star
1-123-C-LB	given to	Starbuck
1-123-C-LB	given to	Touchet
1-123-C-LB	given to	Waitsburg
1-123-C-LB	given to	Walla Walla
1-171-DL-SP	given to	Moses Lake
1-171-K12T-LD	given to	Cashmere
1-171-K12T-LD	given to	Moses Lake
1-171-K12T-LD	given to	Wenatchee
1-171-K12Ts-CS	given to	Brewster
1-171-K12Ts-CS	given to	Moses Lake
1-171-K12Ts-CS	given to	Quincy
1-171-K12Ts-CS	given to	Waterville
1-171-K12Ts-CS	given to	Wenatchee
2-all-LA-book	given to 	NELA/101
2-all-LA-book	given to 	SCLA/105
2-all-LA-book	given to 	SWLA/112
2-all-LA-book	given to 	MTHLA/113
2-all-LA-book	given to 	OLA/114
2-all-LA-book	given to 	SELA/123
2-all-LA-book	given to 	NCLA/171
2-all-LA-book	given to 	NWLA/189
2-all-LA-book	given to 	NSLA/121
2-all-LA-book	given to 	SSLA/121
2-all-varies-NGT	given to 	NELA/101
2-all-varies-NGT	given to 	SCLA/105
2-all-varies-NGT	given to 	SWLA/112
2-all-varies-NGT	given to 	MTHLA/113
2-all-varies-NGT	given to 	OLA/114
2-all-varies-NGT	given to 	SELA/123
2-all-varies-NGT	given to 	NCLA/171
2-all-varies-NGT	given to 	NWLA/189
ESD-121	developed	1-121-C-LD
ESD-121	implemented	1-121-C-LD
ISB	developed	1-121-DL-SP
ISB	implemented	1-121-DL-SP
LASER	developed	2-all-LA-book
LASER	implemented	2-all-LA-book
NCLA/171	developed	1-171-K12Ts-CS
NCLA/171	implemented	1-171-K12Ts-CS
NCLA/171	implemented	1-171-K12T-LD
NCLA/171	developed	1-171-K12T-LD
NCLA/171	developed	1-171-DL-SP
NCLA/171	implemented	1-171-DL-SP
NSLA/121	developed	2-all-varies-NGT
NSLA/121	implemented	2-all-varies-NGT
NSLA/121	developed	1-121-C-LD
NSLA/121	implemented	1-121-C-LD
NSLA/121	developed	1-121-DL-SP
NSLA/121	implemented	1-121-DL-SP
SCLA/105	implemented	1-105-K5TL-IM
SCLA/105	developed	1-105-K5TL-IM
SELA/123	developed	1-123-C-LB
SSLA	developed	2-all-varies-NGT
SSLA	implemented	2-all-varies-NGT
SSLA/121	developed	1-121-C-LD
SSLA/121	implemented	1-121-C-LD
SSLA/121	developed	1-121-K12TL-LD
SSLA/121	implemented	1-121-K12TL-LD
SSLA/121	developed	1-121-K12T-PD
SSLA/121	implemented	1-121-K12T-PD
SSLA/121	developed	1-121-DL-SP
SSLA/121	implemented	1-121-DL-SP
SWLA/112	developed	1-112-DL-SP
SWLA/112	implemented	1-112-DL-SP
SWLA/112	developed	1-112-DL-SP
SWLA/112	implemented	1-112-DL-SP
SWLA/112	developed	1-112-????-CaPa
SWLA/112	implemented	1-112-????-CaPa
