1-101-K5DL-Le	given to	Chewelah
1-101-K5DL-Le	given to	Colville
1-101-K5DL-Le	given to	Creston
1-101-K5DL-Le	given to	Cusick
1-101-K5DL-Le	given to	Diocese Schools
1-101-K5DL-Le	given to	East Valley (Spokane)
1-101-K5DL-Le	given to	Great Northern
1-101-K5DL-Le	given to	Loon Lake
1-101-K5DL-Le	given to	Mead
1-101-K5DL-Le	given to	Medical Lake
1-101-K5DL-Le	given to	Onion Creek
1-101-K5DL-Le	given to	Pullman
1-101-K5DL-Le	given to	Reardan-Edwall
1-101-K5DL-Le	given to	Selkirk
1-101-K5DL-Le	given to	Spokane
1-101-K5DL-Le	given to	Summit Valley
1-101-K5DL-Le	given to	Wellpinit
1-101-K5DL-Le	given to	West Valley (Spokane)
1-101-K5DL-Le	given to	Wilbur
1-101-K5DL-Le	given to	Rosalia
1-105-K5TL-IM	given to	Bickleton
1-105-K5TL-IM	given to	East Valley (Yakima)
1-105-K5TL-IM	given to	Easton
1-105-K5TL-IM	given to	Ellensburg
1-105-K5TL-IM	given to	Granger
1-105-K5TL-IM	given to	Highland
1-105-K5TL-IM	given to	Kittitas
1-105-K5TL-IM	given to	Mabton
1-105-K5TL-IM	given to	Naches Valley
1-105-K5TL-IM	given to	Royal
1-105-K5TL-IM	given to	Selah
1-105-K5TL-IM	given to	Sunnyside
1-105-K5TL-IM	given to	Thorp
1-105-K5TL-IM	given to	Union Gap
1-105-K5TL-IM	given to	Wahluke
1-105-K5TL-IM	given to	Wapato
1-105-K5TL-IM	given to	West Valley (Yakima)
1-105-K5TL-IM	given to	Zillah
1-112-????-CaPa	given to	Kalama
1-112-DL-SP	given to	Battle Ground
1-112-DL-SP	given to	Glenwood
1-112-DL-SP	given to	Hockinson
1-112-DL-SP	given to	La Center
1-112-DL-SP	given to	Wahkiakum
1-113-K2C-LS	given to 	Centralia
1-113-K2C-LS	given to 	Tumwater
1-114-6T-PD	given to 	Port Angeles 
1-114-6T-PD	given to 	Sequim 
1-114-HSTL-LS	given to 	Bremerton
1-114-HSTL-LS	given to 	Sequim 
1-114-K5T-CT	given to 	Bremerton
1-114-K5T-CT	given to 	Central Kitsap
